geo_point_2d,geo_shape,projection,stop_id,stop_name,latitude,longitude,postcode,easting,northing,gisfid,suburb,googlemaps_drive_to
"-38.0010320137, 145.2083860978","{""coordinates"": [145.2083860978, -38.0010320137], ""type"": ""Point""}",MGA2020 Zone 55,1851,Gretana St/Hammond Rd (Dandenong South),-38.00103201368631,145.20838609780503,3175,342697,5792557,1655,Dandenong South,"https://www.google.com.au/maps/dir//-38.00103201368631,145.20838609780503/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9981999827, 145.2242498538","{""coordinates"": [145.2242498538, -37.9981999827], ""type"": ""Point""}",MGA2020 Zone 55,1693,Quinn St/Plunkett Rd (Dandenong),-37.99819998271822,145.22424985383952,3175,344084,5792898,1656,Dandenong,"https://www.google.com.au/maps/dir//-37.99819998271822,145.22424985383952/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0133160223, 145.2316421026","{""coordinates"": [145.2316421026, -38.0133160223], ""type"": ""Point""}",MGA2020 Zone 55,2159,Hallam Valley Rd/South Gippsland Hwy (Dandenong South),-38.01331602235284,145.2316421025723,3175,344765,5791233,1665,Dandenong South,"https://www.google.com.au/maps/dir//-38.01331602235284,145.2316421025723/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0316660345, 145.2020911474","{""coordinates"": [145.2020911474, -38.0316660345], ""type"": ""Point""}",MGA2020 Zone 55,2220,Superior Dr/Hammond Rd (Dandenong South),-38.03166603450918,145.20209114744986,3175,342210,5789147,1672,Dandenong South,"https://www.google.com.au/maps/dir//-38.03166603450918,145.20209114744986/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9989009936, 145.2104650988","{""coordinates"": [145.2104650988, -37.9989009936], ""type"": ""Point""}",MGA2020 Zone 55,23605,Dandenong South PS/Kirkham Rd (Dandenong South),-37.998900993653535,145.2104650987605,3175,342875,5792797,1679,Dandenong South,"https://www.google.com.au/maps/dir//-37.998900993653535,145.2104650987605/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0349459936, 145.2014640258","{""coordinates"": [145.2014640258, -38.0349459936], ""type"": ""Point""}",MGA2020 Zone 55,2363,Swift Way/Hammond Rd (Dandenong South),-38.0349459935555,145.20146402578249,3175,342162,5788782,1684,Dandenong South,"https://www.google.com.au/maps/dir//-38.0349459935555,145.20146402578249/@your+location,17z/data=!4m2!4m1!3e0"
"-38.048862962, 145.2087590538","{""coordinates"": [145.2087590538, -38.048862962], ""type"": ""Point""}",MGA2020 Zone 55,23003,Jayco Dr/Frankston-Dandenong Rd (Lyndhurst),-38.04886296198988,145.2087590537666,3175,342832,5787250,1685,Lyndhurst,"https://www.google.com.au/maps/dir//-38.04886296198988,145.2087590537666/@your+location,17z/data=!4m2!4m1!3e0"
"-38.013134044, 145.2154611779","{""coordinates"": [145.2154611779, -38.013134044], ""type"": ""Point""}",MGA2020 Zone 55,23016,Greens Rd/Frankston-Dandenong Rd (Dandenong South),-38.01313404398176,145.21546117789978,3175,343344,5791226,1687,Dandenong South,"https://www.google.com.au/maps/dir//-38.01313404398176,145.21546117789978/@your+location,17z/data=!4m2!4m1!3e0"
"-38.029625014, 145.2231500431","{""coordinates"": [145.2231500431, -38.029625014], ""type"": ""Point""}",MGA2020 Zone 55,51263,Healey Rd/Kitchen Rd (Dandenong South),-38.029625013979384,145.2231500430799,3175,344054,5789409,1707,Dandenong South,"https://www.google.com.au/maps/dir//-38.029625013979384,145.2231500430799/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0300699738, 145.2191630449","{""coordinates"": [145.2191630449, -38.0300699738], ""type"": ""Point""}",MGA2020 Zone 55,51265,Healey Rd/England St (Dandenong South),-38.03006997379955,145.21916304491543,3175,343705,5789353,1709,Dandenong South,"https://www.google.com.au/maps/dir//-38.03006997379955,145.21916304491543/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0317950043, 145.2188250101","{""coordinates"": [145.2188250101, -38.0317950043], ""type"": ""Point""}",MGA2020 Zone 55,51267,Abbotts Rd/England St (Dandenong South),-38.03179500431231,145.21882501007244,3175,343679,5789161,1711,Dandenong South,"https://www.google.com.au/maps/dir//-38.03179500431231,145.21882501007244/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0263290349, 145.2132039687","{""coordinates"": [145.2132039687, -38.0263290349], ""type"": ""Point""}",MGA2020 Zone 55,461,Quality Dr/Frankston-Dandenong Rd (Dandenong South),-38.0263290349343,145.21320396872466,3175,343174,5789758,1716,Dandenong South,"https://www.google.com.au/maps/dir//-38.0263290349343,145.21320396872466/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0278029653, 145.2129058924","{""coordinates"": [145.2129058924, -38.0278029653], ""type"": ""Point""}",MGA2020 Zone 55,462,Healey Rd/Frankston-Dandenong Rd (Dandenong South),-38.02780296533954,145.21290589237742,3175,343151,5789594,1717,Dandenong South,"https://www.google.com.au/maps/dir//-38.02780296533954,145.21290589237742/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0319280243, 145.2186619308","{""coordinates"": [145.2186619308, -38.0319280243], ""type"": ""Point""}",MGA2020 Zone 55,51268,Abbotts Rd/England St (Dandenong South),-38.03192802427987,145.21866193077608,3175,343665,5789146,1720,Dandenong South,"https://www.google.com.au/maps/dir//-38.03192802427987,145.21866193077608/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0336329838, 145.2283740157","{""coordinates"": [145.2283740157, -38.0336329838], ""type"": ""Point""}",MGA2020 Zone 55,51269,Taylors Rd/Abbotts Rd (Dandenong South),-38.03363298381632,145.22837401572883,3175,344521,5788973,1721,Dandenong South,"https://www.google.com.au/maps/dir//-38.03363298381632,145.22837401572883/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0343020431, 145.2338611386","{""coordinates"": [145.2338611386, -38.0343020431], ""type"": ""Point""}",MGA2020 Zone 55,51271,Soccio Pl/Abbotts Rd (Dandenong South),-38.03430204309212,145.2338611386349,3175,345004,5788908,1723,Dandenong South,"https://www.google.com.au/maps/dir//-38.03430204309212,145.2338611386349/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9998369936, 145.2175030961","{""coordinates"": [145.2175030961, -37.9998369936], ""type"": ""Point""}",MGA2020 Zone 55,2943,John St/Kirkham Rd (Dandenong South),-37.99983699364975,145.21750309606674,3175,343495,5792705,1729,Dandenong South,"https://www.google.com.au/maps/dir//-37.99983699364975,145.21750309606674/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9989890135, 145.2103599778","{""coordinates"": [145.2103599778, -37.9989890135], ""type"": ""Point""}",MGA2020 Zone 55,2941,Dandenong South PS/Kirkham Rd (Dandenong South),-37.99898901349126,145.21035997776693,3175,342866,5792787,1731,Dandenong South,"https://www.google.com.au/maps/dir//-37.99898901349126,145.21035997776693/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0590650017, 145.2052389746","{""coordinates"": [145.2052389746, -38.0590650017], ""type"": ""Point""}",MGA2020 Zone 55,2971,Harwood Rd/Frankston-Dandenong Rd (Bangholme),-38.059065001681006,145.20523897459077,3175,342545,5786112,1741,Bangholme,"https://www.google.com.au/maps/dir//-38.059065001681006,145.20523897459077/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0049730243, 145.2073669348","{""coordinates"": [145.2073669348, -38.0049730243], ""type"": ""Point""}",MGA2020 Zone 55,48542,Logis Bvd/Hammond Rd (Dandenong South),-38.004973024337616,145.20736693481678,3175,342616,5792118,1743,Dandenong South,"https://www.google.com.au/maps/dir//-38.004973024337616,145.20736693481678/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0192220048, 145.2146068905","{""coordinates"": [145.2146068905, -38.0192220048], ""type"": ""Point""}",MGA2020 Zone 55,459,Zenith Rd/Frankston-Dandenong Rd (Dandenong South),-38.01922200483662,145.21460689047998,3175,343282,5790549,1745,Dandenong South,"https://www.google.com.au/maps/dir//-38.01922200483662,145.21460689047998/@your+location,17z/data=!4m2!4m1!3e0"
